timestamp,alpha,beta,theta,diff
2024-11-08|16:23:18.424,0.5760,0.0559,0.5042,100.0000
2024-11-08|16:23:18.628,0.5709,0.0652,0.4793,100.0000
2024-11-08|16:23:18.831,0.5709,0.0895,0.4681,100.0000
2024-11-08|16:23:19.034,0.5709,0.1201,0.4637,100.0000
2024-11-08|16:23:19.236,0.5709,0.1468,0.4597,100.0000
2024-11-08|16:23:19.437,0.5709,0.1468,0.4597,100.0000
2024-11-08|16:23:19.642,0.5709,0.1641,0.4522,100.0000
2024-11-08|16:23:19.844,0.5709,0.1701,0.4358,100.0000
2024-11-08|16:23:20.048,0.5695,0.1658,0.3990,100.0000
2024-11-08|16:23:20.252,0.5614,0.1554,0.3311,100.0000
2024-11-08|16:23:20.455,0.4923,0.1457,0.2346,100.0000
2024-11-08|16:23:20.658,0.3469,0.1457,0.1295,100.0000
2024-11-08|16:23:20.861,0.3469,0.1407,0.1295,100.0000
2024-11-08|16:23:21.066,0.1759,0.1379,0.0434,100.0000
2024-11-08|16:23:21.270,0.1150,0.1348,-0.0172,100.0000
2024-11-08|16:23:21.471,0.0910,0.1331,-0.0718,100.0000
2024-11-08|16:23:21.681,0.0773,0.1358,-0.1310,100.0000
2024-11-08|16:23:21.883,0.0773,0.1358,-0.1310,100.0000
2024-11-08|16:23:22.086,0.0753,0.1390,-0.1876,100.0000
2024-11-08|16:23:22.288,0.0828,0.1337,-0.2319,100.0000
2024-11-08|16:23:22.492,0.0887,0.1154,-0.2631,100.0000
2024-11-08|16:23:22.695,0.0650,0.0886,-0.2910,100.0000
2024-11-08|16:23:22.896,0.0334,0.0640,-0.3241,100.0000
2024-11-08|16:23:23.100,0.0072,0.0521,-0.3622,100.0000
2024-11-08|16:23:23.303,0.0072,0.0521,-0.3622,100.0000
2024-11-08|16:23:23.510,-0.0069,0.0550,-0.3986,100.0000
2024-11-08|16:23:23.714,0.0074,0.0654,-0.4209,100.0000
2024-11-08|16:23:23.920,0.1034,0.0730,-0.4235,100.0000
2024-11-08|16:23:24.122,0.1467,0.0715,-0.4122,100.0000
2024-11-08|16:23:24.325,0.1464,0.0715,-0.3982,100.0000
2024-11-08|16:23:24.528,0.1464,0.0620,-0.3982,100.0000
2024-11-08|16:23:24.732,0.1450,0.0530,-0.3884,100.0000
2024-11-08|16:23:24.934,0.1450,0.0542,-0.3816,100.0000
2024-11-08|16:23:25.138,0.1568,0.0684,-0.3707,100.0000
2024-11-08|16:23:25.341,0.2078,0.0882,-0.3471,100.0000
2024-11-08|16:23:25.544,0.2135,0.0882,-0.3092,100.0000
2024-11-08|16:23:25.748,0.2135,0.1032,-0.3092,100.0000
2024-11-08|16:23:25.952,0.2135,0.1091,-0.2644,100.0000
2024-11-08|16:23:26.158,0.2135,0.1110,-0.2190,100.0000
2024-11-08|16:23:26.361,0.2135,0.1167,-0.1715,100.0000
2024-11-08|16:23:26.566,0.2135,0.1266,-0.1258,100.0000
2024-11-08|16:23:26.772,0.2135,0.1333,-0.0917,100.0000
2024-11-08|16:23:26.977,0.2135,0.1333,-0.0917,100.0000
2024-11-08|16:23:27.180,0.2135,0.1300,-0.0770,100.0000
2024-11-08|16:23:27.382,0.2135,0.1175,-0.0806,100.0000
2024-11-08|16:23:27.585,0.2056,0.1031,-0.0940,100.0000
2024-11-08|16:23:27.790,0.1804,0.0945,-0.1067,100.0000
2024-11-08|16:23:27.992,0.1533,0.0945,-0.1118,100.0000
2024-11-08|16:23:28.196,0.1533,0.0934,-0.1118,100.0000
2024-11-08|16:23:28.398,0.1809,0.0946,-0.1055,100.0000
2024-11-08|16:23:28.602,0.1975,0.0879,-0.0902,100.0000
2024-11-08|16:23:28.807,0.2026,0.0663,-0.0690,100.0000
2024-11-08|16:23:29.009,0.1858,0.0320,-0.0416,100.0000
2024-11-08|16:23:29.211,0.1088,0.0320,-0.0416,100.0000
2024-11-08|16:23:29.412,0.1088,-0.0018,-0.0096,100.0000
2024-11-08|16:23:29.615,0.0581,-0.0207,0.0209,100.0000
2024-11-08|16:23:29.819,0.0611,-0.0250,0.0414,100.0000
2024-11-08|16:23:30.021,0.1104,-0.0274,0.0468,100.0000
2024-11-08|16:23:30.225,0.1779,-0.0336,0.0421,100.0000
2024-11-08|16:23:30.426,0.1999,-0.0364,0.0445,100.0000
2024-11-08|16:23:30.630,0.1999,-0.0364,0.0668,100.0000
2024-11-08|16:23:30.833,0.1999,-0.0273,0.0668,100.0000
2024-11-08|16:23:31.035,0.1999,-0.0088,0.1025,100.0000
2024-11-08|16:23:31.240,0.2014,0.0077,0.1337,100.0000
2024-11-08|16:23:31.443,0.2009,0.0145,0.1500,100.0000
2024-11-08|16:23:31.646,0.1913,0.0113,0.1542,100.0000
2024-11-08|16:23:31.852,0.2016,0.0022,0.1521,100.0000
