TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
43:29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
45:49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:49.4,0.770179241,0.742005784,1.237784944,1.54556883,0.250433094,0.486067334,0.770984406,0.783433482,0.731350137,0.511242454,0.517963606,0.69256738,0.714100758,0.458739113,0.604840215,0.492872183,-0.039703432,0.191034631,0.185881112,0.171802756,796.996337,774.8351648,789.3406593,815.9340659,709.96337,-0.277466,0.157043,0.957764,4.98703,-9.114227,-6.213226,1,2,1,1,2,60,
45:50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
45:50.4,0.770179241,0.733264782,1.237784944,1.54556883,0.250433094,0.437977516,0.770984406,0.783433482,0.731350137,0.384634218,0.517963606,0.69256738,0.714100758,0.352283309,0.604840215,0.492872183,-0.039703432,0.121405352,0.185881112,0.171802756,795.3846154,807.8754579,784.9084249,793.7728938,807.4725275,-0.311218,0.132568,0.951294,2.31781,-5.869293,-7.252502,1,2,1,1,2,60,
45:50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
45:51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
45:51.4,0.770179241,0.733264782,1.237784944,1.54556883,0.250433094,0.437977516,0.770984406,0.783433482,0.731350137,0.384634218,0.517963606,0.69256738,0.714100758,0.352283309,0.604840215,0.492872183,-0.039703432,0.121405352,0.185881112,0.171802756,783.2967033,812.3076923,857.8388278,783.6996337,449.6703297,-0.318542,0.133301,0.95459,3.91037,-7.648773,-3.499146,1,2,1,1,2,60,
45:52.4,0.216797823,0.733264782,1.237784944,-0.017731689,0.09534692,0.437977516,0.770984406,0.126138345,0.298204785,0.384634218,0.517963606,0.263468831,1.000676393,0.352283309,0.604840215,1.038475613,1.082964832,0.121405352,0.185881112,1.094307487,758.7179487,816.3369963,788.5347985,756.3003663,719.2307692,-0.327759,0.106384,0.95282,7.177734,-7.439423,-7.30484,1,1,1,1,1,60,
