TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-15 09:24:36.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
2024-10-15 09:24:45.088,1.690137918784446,0.242302857495987,0.5659689480459086,0.46650364330323,1.875797228204455,-0.164789291805218,0.2272252160531486,0.3230607390750162,1.36993906437354,0.1903185934049114,0.05086293675195844,0.3355805989023719,0.8709262723839507,-0.08283373152796424,-0.02830989761475967,0.5816303227578522,0.441259487920172,-0.4299387440415384,-0.1139688437832335,0.623817518368003,574.981684981685,790.5494505494506,780.0732600732601,765.9706959706959,710.7692307692308,-0.185242,0.108398,0.988403,4.800110,-7.035675,-4.029999,1,1,1,1,1,30.000000
2024-10-15 09:24:46.089,0.6164833974906534,-0.3412733177405234,0.2424553496127454,0.1645373251713371,0.4575930887718656,-0.2613545670381451,-0.05851453437047553,0.4410546296024312,0.4570298755711466,-0.006025379381218185,0.06205506389656724,0.69700126295223,0.7941361548442741,-0.01730925667239977,-0.1889210717639266,0.6477504730400835,0.54136159030844,-0.4102562588070503,-0.2417266615636461,0.5794165839025543,583.040293040293,786.5201465201466,766.3736263736264,746.6300366300367,774.0293040293041,-0.186218,0.109558,0.987976,4.501038,-8.022614,-3.349609,1,1,1,1,1,30.000000
2024-10-15 09:24:47.089,0.7031277386716887,-0.1107431353555353,-0.09560215622516789,0.3173816962431586,0.6148353261690587,-0.2042351389159467,-0.1362590888410335,0.4912333315811823,0.6229909135174743,0.03595509448105626,0.1909284549495069,0.8808564139239946,0.6867906820805292,-0.1183389717644303,-0.1187397342027473,0.6001452589407061,0.49445977922373,-0.3648000436553843,-0.2528195797119557,0.5626279839119214,568.5347985347986,789.7435897435897,782.4908424908425,741.3919413919414,755.4945054945055,-0.195740,0.107727,0.988770,5.039368,-6.078644,-4.807587,1,1,1,1,1,30.000000
2024-10-15 09:24:48.047,0.4969657194631081,0.1387044531394861,0.2969521450051212,0.08163554769509013,0.5109941400102884,0.1314566301684275,0.342507019127276,0.1465642940113955,0.4394495531155184,0.2060297698263084,0.4984060482094518,0.5420685886861125,0.5961073580642479,-0.08673811075111411,-0.1712801101114616,0.4437097991857573,0.5102198467486335,-0.4374956738372714,-0.2039525695469066,0.6668028694699036,945.2747252747253,785.7142857142858,785.7142857142858,869.92673992674,1145.531135531136,-0.191284,0.108337,0.991760,5.473022,-6.616974,-2.908478,1,1,1,1,1,40.000000
2024-10-15 09:24:48.998,0.4597795154782737,0.03843587888892187,0.3303249476642527,0.1312685508455261,-0.05038054955037198,0.1160310060773113,0.3876589841901906,-0.09250401518407099,0.002450097993873697,0.2465777711786934,0.4993365928762109,0.2740534211002308,0.861564156343918,-0.04234282776810493,-0.1787314389578181,0.5991190232988935,0.4294519280484071,-0.6202069561044339,-0.2556474020867958,0.5968464835765864,614.4688644688645,784.1025641025641,777.6556776556777,747.8388278388279,378.3516483516484,-0.190063,0.115845,0.988770,4.770203,-7.648773,-4.269257,1,1,1,1,1,40.000000
2024-10-15 09:24:49.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:49.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:50.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-15 09:24:50.049,0.4597795154782737,0.1419028575076821,0.249239619699865,0.1330054963407861,-0.05038054955037198,0.07477384060225752,0.407482712078641,-0.05669072378325625,0.002450097993873697,0.2949777852603262,0.4746887842291258,0.2731158359362197,0.861564156343918,-0.06928126387645601,0.02336529388169226,0.625071108598352,0.4294519280484071,-0.5332705776533315,-0.4480425456347409,0.6037150818875487,747.032967032967,783.2967032967033,771.6117216117216,795.7875457875458,702.3076923076924,-0.174377,0.108826,0.985779,5.039368,-7.312317,-4.590759,1,1,1,1,1,40.000000
2024-10-15 09:24:51.066,0.4597795154782737,0.1307422758438147,0.3021426829054255,0.1330054963407861,-0.05038054955037198,0.09908217757272707,0.4273590332229127,-0.05669072378325625,0.002450097993873697,0.3625295538787253,0.1512426008941625,0.2731158359362197,0.861564156343918,-0.1803500132689889,0.01365418915701931,0.625071108598352,0.4294519280484071,-0.4927192187350078,-0.3244236363453903,0.6037150818875487,647.5091575091575,787.7289377289378,776.8498168498169,767.5824175824176,606.4102564102565,-0.168640,0.124390,0.992798,4.844971,-7.028198,-4.216919,1,1,1,1,1,40.000000
